Source Question,Ground Truth,Source Answer,Statement (SQ+SA),Target Answer,New Question,New Answer,R1p,R1r,Semantic Similarity Score - Detail,Average,Inspection Conclusion
Who started the IPCC Trust Fund? ,the United Nations Environment Programme (UNEP) and the World Meteorological Organization (WMO),united nations environment programme (unep) and the world meteorological organization (wmo),united nations environment programme (unep) and the world meteorological organization (wmo) started the ipcc trust fund.,the ipcc trust fund,What did the united nations environment program and the world meteorological organization start ?,no answer>,0.866666667,0.8125,"[0.2884692, 0.4051491, 0.3775781]",0.35706547,NA
Who funds the IPCC's Deputy Secretary? ,United Nations Environment Programme,unep,unep funds the ipcc's deputy secretary.,the ipcc 's deputy secretary,What does unep fund ?,no answer>,0.714285714,0.833333333,"[0.2884692, 0.31697, 0.27576128, 0.28506052]",0.29156524,NA
How are the certain costs which are difficult to avoid shared? ,by everyone,by everyone,the certain costs which are difficult to avoid are shared by everyone.,the certain costs which are difficult to avoid,What is shared by everyone ?,"costs of housing, pensions, education and health care",0.916666667,0.916666667,"[0.4396051, 1.0, 0.3821873, 0.43316236]",0.5637387,NA
What is one method of achieving aspirational consumption? ,taking on debt,taking on debt,one method of achieving aspirational consumption is taking on debt.,one method of achieving aspirational consumption,What is taking on debt ?,no answer>,1,1,"[0.4914133, 0.4533466, 0.30917653, 0.25974968, 0.2894655]",0.36063033,NA
What type of musical instruments did the Yuan bring to China? ,Western,western,the yuan brought western type of musical instruments to china.,the yuan,Who brought western type of musical instruments to China ?,muslims of central asia,1,1,[0.2122847],0.2122847,NA
What type of practices did the Yuan introduce in government? ,<No Answer>,confucian,the yuan introduced confucian type of practices in government.,government,What did the Yuan introduce confucian practices in ?,north china,1,0.777777778,[0.3671105],0.3671105,SA
What is the effect on humans of oxygen? ,mild euphoric,mild euphoric,the effect on humans of oxygen is mild euphoric.,humans of oxygen,What effect does the euphoric effect have on ?,no answer>,0.875,0.777777778,"[0.2492019, 0.26355717]",0.25637954,FP NQ
What type of exercise does research show receives a boost in performance from oxygen? ,aerobic,aerobic,research show receives aerobic type of exercise a boost in performance from oxygen.,oxygen,What does an aerobic type of exercise get a boost in performance from ?,no answer>,0.833333333,0.769230769,[0.26355717],0.26355717,NA
What is the most likely effect of breathing oxygen? ,placebo,placebo,the most likely effect of breathing oxygen is placebo.,the most likely effect of breathing oxygen,What is placebo ?,no answer>,1,1,"[0.38612103, 0.44667077, 0.32964277, 0.26355717]",0.35649794,NA
What does Untersee mean? ,lower lake,lower lake,untersee means lower lake.,untersee,What does lower lake mean ?,no answer>,1,1,[0],0,FP NQ
