Source Question,Ground Truth,Source Answer,Statement (SQ+SA),Target Answer,New Question,New Answer,R1p,R1r,Semantic Similarity Score - Detail,Average,Inspection Conclusion
how many pages is invisible man by ralph ellison?,581 ( second edition ),68,68 pages is invisible man by ralph ellison.,ralph ellison,Who is invisible man by ?,'',1,0.75,"[0, 0]",0,FP NQ
who plays letty in bring it on all or nothing?,Francia Raisa,cindy chiu,cindy chiu plays letty in bring it on all or nothing.,all or nothing,What does cindy chiu play letty in bring it on ?,letty,1,1,[0],0,SA
when did wesley leave last of the summer wine?,2002,2006,wesley leaved last of the summer wine in 2006.,the summer wine,What did wesley leave last of in 2006 ?,billy hardcastle,1,1,"[0.27420273, 0.324139]",0.29917085,SA
what is the name of wonder womans mother?,Queen Hippolyta,queen hippolyta,the name of wonder womans mother is queen hippolyta.,the name of wonder womans mother,Who is queen hippolyta ?,diana,1,1,"[0.37146318, 0.27071586, 0.38448742, 0.39195472]",0.35465527,NA
who has the most receiving yards in one game?,Flipper Anderson,drew brees,drew brees has the most receiving yards in one game.,the most receiving yards,What does a brees have in one game ?,'',0.9,0.9,"[0, 0]",0,SA
who played young king t'chaka in black panther?,Atandwa Kani,john kani,john kani played young king t'chaka in black panther.,young king,What role did john kani play in black panther ?,t'chaka,1,0.888888889,"[0, 0]",0,SA
when was the first manmade object sent into space?,3-Oct-42,4-Oct-57,the first manmade object was sent into space in 4 october 1957.,the first manmade object,What was sent into space in 1957 ?,sputnik 1,1,0.833333333,"[0.31591132, 0.28991637, 0.24726215]",0.28436327,SA
when is the fifth round of the fa cup played?,16-Feb-18,18 – 20 february 2017,the fifth round of the fa cup is played in 18 – 20 february 2017.,the fifth round of the fa cup,What is played in 18 - 20 february 2017 ?,sutton united,0.923076923,0.8,"[0.3587372, 0.33021516, 0.26761565, 0.3002914]",0.31421486,SA
who is the chief legal advisor to the government?,Law Officers of the Crown,the solicitor general,the chief legal advisor to the government is the solicitor general.,the chief legal advisor,Who is the solicitor general ?,elena kagan,1,0.727272727,"[0.3439086, 0.2677558, 0.31379]",0.3084848,SA
what do they call snowboarders in johnny tsunami?,Urchins,urchins,they call snowboarders in johnny tsunami as urchins.,johnny tsunami,What do they call snowboarders ?,urchins,1,0.75,"[0.2904423, 0.2122303]",0.25133628,FP NQ
where are tight junctions found in the human body?,vertebrates,vertebrates,tight junctions are found in the human body in vertebrates.,tight junctions,What is found in the human body in vertebrates ?,'' ''' ''''''',0.9,0.9,"[0, 0]",0,NA
where was the mona lisa kept during ww2?,Château d'Amboise,the palace of fontainebleau,the mona lisa was kept during ww2 in the palace of fontainebleau.,the mona lisa,What was kept during ww2 in the palace of fontainebleau ?,'' ''''''''',1,1,"[0.056851994, 0.05090155]",0.053876773,SA
where was the mona lisa kept during ww2?,the Loc - Dieu Abbey,the palace of fontainebleau,the mona lisa was kept during ww2 in the palace of fontainebleau.,the mona lisa,What was kept during ww2 in the palace of fontainebleau ?,'' ''''''''',1,1,"[0.056851994, 0.05090155]",0.053876773,SA
where was the mona lisa kept during ww2?,Château de Chambord,the palace of fontainebleau,the mona lisa was kept during ww2 in the palace of fontainebleau.,the mona lisa,What was kept during ww2 in the palace of fontainebleau ?,'' ''''''''',1,1,"[0.056851994, 0.05090155]",0.053876773,SA
where was the mona lisa kept during ww2?,the Ingres Museum,the palace of fontainebleau,the mona lisa was kept during ww2 in the palace of fontainebleau.,the mona lisa,What was kept during ww2 in the palace of fontainebleau ?,'' ''''''''',1,1,"[0.056851994, 0.05090155]",0.053876773,SA
in attack on titan who is the female titan?,Ymir Fritz,eren,in attack on titan eren is the female titan.,the female titan,Who is in attack on titan eren ?,shikishima,1,1,"[0, 0]",0,SA
