Source Question,Ground Truth,Source Answer,Statement (SQ+SA),Target Answer,New Question,New Answer,Semantic Similarity Score - Detail,Average,Inspection Conclusion
who sings does he love me with reba?,Linda Davis,linda davis,Linda davis sings does he love me with reba.,yes,Do linda davis sings does he love me with reba?,1993,0.17865784,0.17865784,NA
how many pages is invisible man by ralph ellison?,581 ( second edition ),68,68 pages is invisible man by ralph ellison.,yes,Is 68 pages invisible man by ralph ellison?,a manga,0.20045641,0.20045641,SA
where do the great lakes meet the ocean?,the Saint Lawrence River,saint lawrence river,The great lakes meet the ocean in saint lawrence river.,yes,Do the great lakes meet the ocean in saint lawrence river?,atlantic ocean,0.20521052,0.20521052,NA
when does the new my hero academia movie come out?,5-Jul-18,2-Oct-18,"The new my hero academia movie comes out in october 2, 2018.",yes,"Does the new my hero academia movie come out in october 2, 2018?",2-Oct-18,0.28525367,0.28525367,SA
what is the smallest prime number that is greater than 30?,31,30,The smallest prime number that is greater than 30 is 30.,yes,Is the smallest prime number that is greater than 30 30?,30,0.17989706,0.17989706,SA
who plays letty in bring it on all or nothing?,Francia Raisa,cindy chiu,Cindy chiu plays letty in bring it on all or nothing.,yes,Does cindy chiu play letty in bring it on all or nothing?,cindy chiu,0.2718615,0.2718615,SA
who was the creator of victoria's secret?,Roy Raymond,roy raymond,The creator of victoria's secret was roy raymond.,yes,Was the creator of victoria's secret roy raymond?,roy raymond,0.3138067,0.3138067,NA
when did wesley leave last of the summer wine?,2002,2006,Wesley leaved last of the summer wine in 2006.,yes,Did wesley leave last of the summer wine in 2006?,billy hardcastle,0.30431542,0.30431542,SA
who introduced the system of civil services in india?,Charles Cornwallis,charles cornwallis,Charles cornwallis introduced the system of civil services in india.,yes,Did charles cornwallis introduce the system of civil services in india?,covenanted civil services,0.21680723,0.21680723,NA
southern soul was considered the sound of what independent record label?,Motown,stax records,Southern soul was considered the sound of stax records independent record label.,yes,Was southern soul considered the sound of stax records independent record label?,sam & dave,0.3082094,0.3082094,SA
who is the bad guy in lord of the rings?,Sauron,sauron,The bad guy in lord of the rings is sauron.,yes,Is the bad guy in lord of the rings sauron?,smaug,0,0,NA
where is the most distortion on a robinson projection?,close to the poles,near the poles,The most distortion on a robinson projection is near the poles.,yes,Is the most distortion on a robinson projection near the poles?,severe,0.2566294,0.2566294,NA
when was the public service commission original version of the upsc set up?,1-Oct-26,4-Mar-13,"The public service commission original version of the upsc was set up in march 4, 1913.",yes,"Was the public service commission original version of the upsc set up in march 4, 1913?",psc,-0.000714005,-0.000714005,SA
what is the name of wonder womans mother?,Queen Hippolyta,queen hippolyta,The name of wonder womans mother is queen hippolyta.,yes,Is the name of wonder womans mother queen hippolyta?,hippolyta,0,0,NA
which apostle had a thorn in his side?,Paul,philemon,Philemon had a thorn in his side.,yes,Did philemon have a thorn in his side?,marcion,0,0,SA
where is each type of cartilage located in the body?,rib cage,intervertebral discs,Each type of cartilage is located in intervertebral discs in the body.,yes,Is each type of cartilage located in intervertebral discs in the body?,hyaline cartilage,0.12045083,0.12045083,SA
where is each type of cartilage located in the body?,ear,intervertebral discs,Each type of cartilage is located in intervertebral discs in the body.,yes,Is each type of cartilage located in intervertebral discs in the body?,hyaline cartilage,0.12045083,0.12045083,SA
where is each type of cartilage located in the body?,nose,intervertebral discs,Each type of cartilage is located in intervertebral discs in the body.,yes,Is each type of cartilage located in intervertebral discs in the body?,hyaline cartilage,0.12045083,0.12045083,SA
where is each type of cartilage located in the body?,bronchial tubes,intervertebral discs,Each type of cartilage is located in intervertebral discs in the body.,yes,Is each type of cartilage located in intervertebral discs in the body?,hyaline cartilage,0.12045083,0.12045083,SA
where is each type of cartilage located in the body?,many other body components,intervertebral discs,Each type of cartilage is located in intervertebral discs in the body.,yes,Is each type of cartilage located in intervertebral discs in the body?,hyaline cartilage,0.12045083,0.12045083,SA
where is each type of cartilage located in the body?,intervertebral discs,intervertebral discs,Each type of cartilage is located in intervertebral discs in the body.,yes,Is each type of cartilage located in intervertebral discs in the body?,hyaline cartilage,0.12045083,0.12045083,NA
who wrote the song two out of three ain't bad?,Meat Loaf,jim steinman,Jim steinman wrote the song two out of three ai n't bad.,yes,Did jim steinman write the song two out of three ai n't bad?,jim steinman,0.2645097,0.2645097,SA
where is human sperm stored in the body?,in the epididymis,epididymis,Human sperm is stored in the body in epididymis.,yes,Is human sperm stored in the body in epididymis?,sperm is stored in the epididymis,0.2135741,0.2135741,NA
when did bat out of hell get released?,Sep-77,Sep-77,Bat out of hell get released in september 1977.,yes,Did bat out of hell get release in september 1977?,bat out of hell,0.42435846,0.42435846,NA
when were manatees put on the endangered list?,1966,1970s,Manatees were put on the endangered list in 1970s.,yes,Were manatees put on the endangered list in 1970s?,manatees were put on the endangered species list in the 1970s,0.35233298,0.35233298,SA
who has the most receiving yards in one game?,Flipper Anderson,drew brees,Drew brees has the most receiving yards in one game.,yes,Does drew brees have the most receiving yards in one game?,dan marino,0.27928802,0.27928802,SA
when does the new season of el señor de los cielos start?,May 8 2018,20-Jun-17,"The new season of el señor de los cielos starts in june 20, 2017.",yes,"Does the new season of el señor de los cielos start in june 20, 2017?",el senor de los cielos,0.34307513,0.34307513,SA
who played young king t'chaka in black panther?,Atandwa Kani,john kani,John kani played young king t'chaka in black panther.,yes,Did john kani play young king t'chaka in black panther?,john kani,0.26189348,0.26189348,SA
when was the first manmade object sent into space?,3-Oct-42,4-Oct-57,The first manmade object was sent into space in 4 october 1957.,yes,Was the first manmade object sent into space in 4 october 1957?,sputnik 1,0.21065219,0.21065219,SA
how many games to get premier league medal?,a minimum of five,88,88 games to get premier league medal.,yes,Does 88 game to get premier league medal?,nicolas anelka,0.34149918,0.34149918,SA
when is star vs the forces of evil coming back on 2017?,6-Nov-17,6-Nov-17,"Star vs the forces of evil is coming back on 2017 in november 6, 2017.",yes,"Is star vs the forces of evil coming back on 2017 in november 6, 2017?",6-Nov-17,0.28682426,0.28682426,NA
when is the fifth round of the fa cup played?,16-Feb-18,18 – 20 february 2017,The fifth round of the fa cup is played in 18 – 20 february 2017.,yes,Is the fifth round of the fa cup played in 18 – 20 february 2017?,sutton united,0.28016233,0.28016233,SA
who is the chief legal advisor to the government?,Law Officers of the Crown,the solicitor general,The chief legal advisor to the government is the solicitor general.,yes,Is the chief legal advisor to the government the solicitor general?,the solicitor general,0.30989566,0.30989566,SA
what do they call snowboarders in johnny tsunami?,Urchins,urchins,They call snowboarders in johnny tsunami as urchins.,yes,Do they call snowboarders in johnny tsunami as urchins?,johnny,0.2330667,0.2330667,NA
who is tanyas husband in real housewives of cheshire?,Phil Bardsley,phil bardsley,Phil bardsley is tanyas husband in real housewives of cheshire.,yes,Is phil bardsley tanyas husband in real housewives of cheshire?,phil bardsley,0.32204962,0.32204962,NA
where are tight junctions found in the human body?,vertebrates,vertebrates,Tight junctions are found in the human body in vertebrates.,yes,Are tight junctions found in the human body in vertebrates?,present only in vertebrates,0.31556198,0.31556198,NA
where was the mona lisa kept during ww2?,Château d'Amboise,the palace of fontainebleau,The mona lisa was kept during ww2 in the palace of fontainebleau.,yes,Was the mona lisa kept during ww2 in the palace of fontainebleau?,louvre,0.22386026,0.22386026,SA
where was the mona lisa kept during ww2?,the Loc - Dieu Abbey,the palace of fontainebleau,The mona lisa was kept during ww2 in the palace of fontainebleau.,yes,Was the mona lisa kept during ww2 in the palace of fontainebleau?,louvre,0.22386026,0.22386026,SA
where was the mona lisa kept during ww2?,Château de Chambord,the palace of fontainebleau,The mona lisa was kept during ww2 in the palace of fontainebleau.,yes,Was the mona lisa kept during ww2 in the palace of fontainebleau?,louvre,0.22386026,0.22386026,SA
where was the mona lisa kept during ww2?,the Ingres Museum,the palace of fontainebleau,The mona lisa was kept during ww2 in the palace of fontainebleau.,yes,Was the mona lisa kept during ww2 in the palace of fontainebleau?,louvre,0.22386026,0.22386026,SA
who is the old man in waiting on a woman?,Andy Griffith,andy griffith,The old man in waiting on a woman is andy griffith.,yes,Is the old man in waiting on a woman andy griffith?,griffith,0.3685702,0.3685702,NA
who have won the world cup the most times?,Brazil,brazil,Brazil have won the world cup the most times.,yes,Have brazil won the world cup the most times?,five,0.2523913,0.2523913,NA
list of companies with highest number of employees?,Walmart,microsoft,List of companies with highest number of employees microsoft.,yes,Do list of companies with highest number of employees microsoft?,microsoft,0.2040064,0.2040064,SA
list of companies with highest number of employees?,McDonald 's,microsoft,List of companies with highest number of employees microsoft.,yes,Do list of companies with highest number of employees microsoft?,microsoft,0.2040064,0.2040064,SA
in attack on titan who is the female titan?,Ymir Fritz,eren,In attack on titan eren is the female titan.,yes,Is in attack on titan eren the female titan?,eren,0.35093957,0.35093957,SA
what is the horses name in never-ending story?,Artax,artax,The horses name in never-ending story is artax.,yes,Is the horses name in never-ending story artax?,'',0,0,NA
who made the first telephone in the world?,Alexander Graham Bell,alexander graham bell,Alexander graham bell made the first telephone in the world.,yes,Did alexander graham bell make the first telephone in the world?,antonio meucci,0.29393917,0.29393917,NA
who is charles off of pretty little liars?,Drake,rhys matthews,Rhys matthews is charles off of pretty little liars.,yes,Is rhys matthews charles off of pretty little liars?,charles,0.29828024,0.29828024,SA
who is charles off of pretty little liars?,CeCe,rhys matthews,Rhys matthews is charles off of pretty little liars.,yes,Is rhys matthews charles off of pretty little liars?,charles,0.29828024,0.29828024,SA
who got pregnant in gossip girl season 5?,Blair,hanna,Hanna got pregnant in gossip girl season 5.,yes,Did hanna get pregnant in gossip girl season 5?,hanna gets pregnant,0.34620175,0.34620175,SA
where is the new england patriots stadium located?,"Foxborough , Massachusetts","foxborough, massachusetts","The new england patriots stadium is located in foxborough, massachusetts.",yes,"Is the new england patriots stadium located in foxborough, massachusetts?",gillette stadium,0.18749969,0.18749969,NA
who played jason in friday the 13th part 1?,Ari Lehman,warrington gillette,Warrington gillette played jason in friday the 13th part 1.,yes,Did warrington gillette play jason in friday the 13th part 1?,ari lehman,0.2928209,0.2928209,SA
who won the pittsburgh steeler baltimore raven game?,Pittsburgh Steelers,the steelers,The steelers won the pittsburgh steeler baltimore raven game.,yes,Did the steelers win the pittsburgh steeler baltimore raven game?,26 – 9,0.16529644,0.16529644,SA
who sang the theme from the greatest american hero?,American singer Joey Scarbury,joey scarbury,Joey scarbury sang the theme from the greatest american hero.,yes,Does joey scarbury sing the theme from the greatest american hero?,believe it or not,0.44593078,0.44593078,NA
who wrote the song the beat goes on?,Sonny Bono,sonny bono,Sonny bono wrote the song the beat goes on.,yes,Did sonny bono write the song the beat goes on?,sonny bono,0.35383785,0.35383785,NA
who won women's cricket world cup 2016?,England,west indies,West indies won women's cricket world cup 2016.,yes,Did west indies win women's cricket world cup 2016?,england,0.3521629,0.3521629,SA
who played v in the movie v for vendetta?,Hugo Weaving,hugo weaving,Hugo weaving played v in the movie v for vendetta.,yes,Did hugo weaving play v in the movie v for vendetta?,hugo weaving,0.2819435,0.2819435,NA
who wins the 2017 australian open men's single title?,Roger Federer,roger federer,Roger federer wins the 2017 australian open men's single title.,yes,Does roger federer win the 2017 australian open men's single title?,roger federer,0.34489042,0.34489042,NA
how many judges currently serve on the supreme court?,nine,nine,Nine judges currently serve on the supreme court.,yes,Do nine judges currently serve on the supreme court?,nine,0.23802796,0.23802796,NA
who did the toronto maple leafs draft this year?,Mac Hollowell,auston matthews,The toronto maple leafs banked auston matthews this year.,yes,Does the toronto maple leafs banked auston matthew this year?,2016 nhl entry draft,0.24393576,0.24393576,SA
who did the toronto maple leafs draft this year?,Pontus Holmberg,auston matthews,The toronto maple leafs banked auston matthews this year.,yes,Does the toronto maple leafs banked auston matthew this year?,2016 nhl entry draft,0.24393576,0.24393576,SA
who did the toronto maple leafs draft this year?,Sean Durzi,auston matthews,The toronto maple leafs banked auston matthews this year.,yes,Does the toronto maple leafs banked auston matthew this year?,2016 nhl entry draft,0.24393576,0.24393576,SA
who did the toronto maple leafs draft this year?,Semyon Der - Arguchintsev,auston matthews,The toronto maple leafs banked auston matthews this year.,yes,Does the toronto maple leafs banked auston matthew this year?,2016 nhl entry draft,0.24393576,0.24393576,SA
who did the toronto maple leafs draft this year?,Rasmus Sandin,auston matthews,The toronto maple leafs banked auston matthews this year.,yes,Does the toronto maple leafs banked auston matthew this year?,2016 nhl entry draft,0.24393576,0.24393576,SA
who did the toronto maple leafs draft this year?,Filip Kral,auston matthews,The toronto maple leafs banked auston matthews this year.,yes,Does the toronto maple leafs banked auston matthew this year?,2016 nhl entry draft,0.24393576,0.24393576,SA
who did the toronto maple leafs draft this year?,Zachary Bouthillier,auston matthews,The toronto maple leafs banked auston matthews this year.,yes,Does the toronto maple leafs banked auston matthew this year?,2016 nhl entry draft,0.24393576,0.24393576,SA
who did the toronto maple leafs draft this year?,Riley Stotts,auston matthews,The toronto maple leafs banked auston matthews this year.,yes,Does the toronto maple leafs banked auston matthew this year?,2016 nhl entry draft,0.24393576,0.24393576,SA
who did the toronto maple leafs draft this year?,Semyon Kizimov,auston matthews,The toronto maple leafs banked auston matthews this year.,yes,Does the toronto maple leafs banked auston matthew this year?,2016 nhl entry draft,0.24393576,0.24393576,SA
who is the youngest judge currently sitting on the u.s. supreme court?,Neil Gorsuch,neil gorsuch,Neil gorsuch is the youngest judge currently sitting on the u.s. supreme court.,yes,Is neil gorsuch the youngest judge currently sitting on the u.s. supreme court?,50 years of age,0.31925058,0.31925058,NA
who does the voice for love island australia?,Eoghan McDermott,eoghan mcdermott,The voices for eoghan mcdermott love island australia.,yes,Do the voices for eoghan mcdermott love island australia?,eoghan mcdermott,0.28021726,0.28021726,NA
when did beauty and the beast come out on dvd?,6-Jun-17,6-Jun-17,"Beauty and the beast came out on dvd in june 6, 2017.",yes,"Did beauty and the beast come out on dvd in june 6, 2017?",blu - ray,0.1719991,0.1719991,NA
when was the last time the 76ers went to the finals?,2001,2017,The last time the 76ers went to the finals was in 2017.,yes,Was the last time the 76ers went to the finals in 2017?,2017,0.16190442,0.16190442,SA
who wrote variations on twinkle twinkle little star?,Jane Taylor,jane taylor,Jane taylor wrote variations on twinkle twinkle little star.,yes,Did jane taylor write variations on twinkle twinkle little star?,jane taylor,0.2532838,0.2532838,NA
when did the king kong ride burn down?,2008,1-Jun-08,"The king kong ride burnt down in june 1, 2008.",yes,"Did the king kong ride burn down in june 1, 2008?",king kong encounter,0.30552572,0.30552572,NA
who plays mrs. potato head in toy story?,Estelle Harris,estelle harris,Estelle harris plays mrs. potato head in toy story.,yes,Does estelle harris play mrs. potato head in toy story?,estelle harris,0.31615296,0.31615296,NA
