Source Question,Ground Truth,Source Answer,Statement (SQ+SA),Target Answer,New Question,New Answer,R1p,R1r,Semantic Similarity Score - Detail,Average,Inspectation Conclusion
is there a right and left brachiocephalic artery? ,no,no,there is not a right and left brachiocephalic artery.,right and left,There is not a right or left brachiocephalic artery ?,no,0.75,1,[0.0],0,FP NQ
is the ksi vs logan paul fight pay per view? ,yes,yes,the ksi is vs logan paul fight pay per view.,logan paul fight pay,What pay per view is the ksi ?,yes,0.9,0.9,"[0.31052905, 0.27144304, 0.2826085, 0.2649233]",0.282376,FP statement
can i get $1 000 bill from the bank? ,no,no,i can not get$ 1 000 bill from the bank.,get$ 1 000 bill,What can i do to get from the bank ?,no answer>,0.818181818,0.9,"[0, 0.69879603, 0.24267305, 0.35136986]",0.323209736,NA
did the brewers make it to the world series? ,yes,no,the brewers did not make it to the world series.,the world series,The brewers didn ' t make it to what ?,no answer>,0.8,0.8,"[0.30652174, 0.33562922]",0.3210755,SA
is the tour de france different every year? ,yes,yes,the tour de france is different every year.,the tour de france,What is different every year ?,route,1,1,"[0.4747977, 0.11801469, 0.32128194]",0.3046981,NA
do donna and eric end up getting married? ,no,no,donna and eric do not end up getting married.,donna and eric,What two types of people do not end up getting married ?,no answer>,1,1,"[0.31112614, 0.22682552]",0.26897582,NA
are all the songs in mama mia here we go again by abba? ,yes,yes,all the songs are in mama mia here we go again by abba.,abba,What are the songs in mama mia here we go by ?,no answer>,1,0.846153846,[0.2022463],0.2022463,NA
can congress pass a law to make an action criminal after it is committed? ,no,no,congress can not pass a law to make an action criminal after it is committed.,congress,Who can not pass a law to make an action criminal after it is committed ?,the united states constitution,1,1,[0.524708],0.524708,NA
do american citizens need a visa for georgia? ,no,no,american citizens do not need a visa for georgia.,georgia,What do american citizens not need a visa for ?,max 90 days in a 180-day period,1,0.888888889,[0.27031553],0.27031553,NA
do i have to put my name on a letter? ,no,no,i do not have to put my name on a letter.,my name,What do i not have to put on a letter ?,return address,1,0.909090909,[0.5499285],0.5499285,NA
was america the first country to have a president? ,no,no,america was not the first country to have a president.,a president,What was not the first country to have what ?,no answer>,0.9,0.9,[0.29792243],0.29792243,FP NQ
is salary included in cost of goods sold? ,yes,no,salary is not included in cost of goods sold.,salary,What is not included in the cost of goods sold ?,no answer>,0.9,1,[0.27597392],0.27597392,SA
is it okay for cousins to marry in japan? ,yes,yes,it is okay for cousins to marry in japan.,japan,What is it okay for cousins to marry ?,marriage,1,0.888888889,[0.17978963],0.17978963,FP NQ
is a woodchuck and a ground hog the same thing? ,yes,yes,a woodchuck and a ground hog is the same thing.,a woodchuck and a ground hog,What are the same thing ?,woodchuck,0.9,0.9,"[1.0, 0.299769, 0.47489712]",0.5915554,NA
is vauxhall station in zone 1 or 2? ,no,yes,vauxhall station is in zone 1 or 2.,zone 1 or 2,What zones is vauxhall station in ?,no answer>,1,1,"[0.22687355, 0.69879603, 0.7026832]",0.5427843,SA
is commercial law and corporate law the same? ,no,yes,commercial law and corporate law is the same.,commercial law and corporate law,What are the same ?,no answer>,0.875,0.875,"[0.26762718, 0.3297996, 0.28473556, 0.3297996]",0.3029905,SA
is jamaica considered part of the united states? ,no,no,jamaica is not considered part of the united states.,jamaica,What is not considered a part of the united states ?,no answer>,0.9,1,[0.17870794],0.17870794,NA
is the isle of man a part of great britain? ,no,no,the isle of man is not a part of great britain.,a part of great britain,The isle of man is not what ?,no answer>,1,1,"[0.4838851, 0.39105314, 0.24984391]",0.3749274,NA
is body of proof still on the air? ,no,no,body of proof is not still on the air.,body of proof,What is not still on the air ?,no answer>,1,1,"[0.30980444, 0.51913166]",0.41446805,NA
is cholesterol a partial breakdown product of lipids? ,yes,no,cholesterol is not a partial breakdown product of lipids.,cholesterol,What is not a partial breakdown product of lipids ?,no answer>,1,1,[0.26113883],0.26113883,SA
was the power of one a true story? ,no,no,the power of one was not a true story.,a true story,The power of one was not what ?,no answer>,1,1,"[0.5300709, 0.43126124]",0.48066607,NA
is an associates degree considered a college degree? ,yes,yes,an associates degree is considered a college degree.,an associates degree,What is a college degree ?,no answer>,1,0.875,"[0.30113918, 0.34656686]",0.32385302,NA
does a flagrant foul count as a personal foul? ,yes,yes,a flagrant foul counts as a personal foul.,a flagrant foul,What is a personal foul ?,no answer>,0.857142857,0.75,"[0.32975417, 0.3139747]",0.32186443,NA
does the carrie diaries have a season 3? ,no,no,the carrie diaries does not have a season 3.,the carrie diaries,What does not have a season 3 ?,no,1,1,[0.0],0,NA
did jean grey die in the last stand? ,yes,yes,jean grey died in the last stand.,the last stand,Where did jean grey die ?,no answer>,1,1,"[0.45922014, 0.4622907]",0.4607554,NA
is there a book for harry potter and the cursed child? ,yes,yes,there is a book for harry potter and the cursed child.,harry potter and the cursed child,What is the book for ?,special rehearsal edition'',0.9,0.818181818,"[0.26781777, 0.28889167, 0.31385875, 0.3990791]",0.3174118,NA
is the fruit orange named after the color? ,no,no,the fruit orange is not named after the color.,the fruit orange,What is not named after the color ?,no answer>,1,1,"[0.22071554, 0.26196015]",0.24133784,NA
is the dominican republic a part of mexico? ,no,no,the dominican republic is not a part of mexico.,a part of mexico,The dominican republic is not a part of what ?,no answer>,0.75,1,"[0.4838851, 0.12377481]",0.30382997,NA
was till i collapse made for real steel? ,no,yes,till was i collapse made for real steel.,i collapse,what was i made for real steel ?,no answer>,0.875,0.875,[0.33827537],0.33827537,SA
has a t rex skull ever been found? ,yes,yes,a t rex skull has ever been found.,a t rex skull,What has ever been found ?,edmontosaurus bones,1,1,"[0.24834017, 0.67156285]",0.45995152,NA
is the new mercedes a class front wheel drive? ,yes,yes,the new mercedes is a class front wheel drive.,a class front wheel drive,What kind of vehicle is the new mercedes ?,a-class,0.75,1,"[1.0, 0.4415939, 0.3871385, 0.396091]",0.55620587,NA
is the greatest show on earth a musical? ,yes,yes,the greatest show on earth is a musical.,earth,What is the greatest show on what planet ?,no answer>,0.75,0.75,[0.28881398],0.28881398,NA
is social studies and social science the same? ,no,yes,social studies and social science is the same.,social studies and social science,What are the same ?,no answer>,0.875,0.875,"[0.2904491, 0.33059517, 0.2904491, 0.3509925]",0.3156215,SA
will the us ever get high speed rail? ,yes,yes,the us will ever get high speed rail.,the us,Who will ever get high speed rail ?,united states,1,1,[0.41762355],0.41762355,FP measure
are elephants at the top of the food chain? ,no,no,elephants are not at the top of the food chain.,the top of the food chain,Where are elephants not at ?,no answer>,1,1,"[0.31610692, 0.30176294, 0.2750977]",0.29765585,NA
has tampa ever been hit by a hurricane? ,yes,yes,tampa has ever been hit by a hurricane.,tampa,What island has ever been hit by a hurricane ?,swan islands,1,1,[0.38632017],0.38632017,NA
does jackson avery die on grey's anatomy? ,no,no,jackson avery does not die on grey's anatomy.,jackson avery,What does not die on grey ' s anatomy ?,no answer>,0.777777778,0.875,"[0.21161202, 0.36916023]",0.29038614,NA
do you have to go into the military if you go to the citadel? ,no,no,you do not have to go into the military if you go to the citadel.,the citadel,Where do you not have to go into the military if you go ?,no,0.866666667,0.866666667,[0.0],0,NA
does ip man win in ip man 3? ,yes,yes,ip man wins in ip man 3.,ip man,Who wins in ip man 3 ?,ip,1,1,"[1.0, 0.15535125]",0.57767564,NA
do you have to pay to use a driving range? ,yes,yes,you have to pay to use a driving range.,a driving range,What do you have to pay to use ?,balls,1,1,"[0.29036877, 0.29610315]",0.29323596,NA
are any original members of lynyrd skynyrd still alive? ,no,yes,any original members are of lynyrd skynyrd still alive.,any original members,Who are the members of lynyrd skynyrd still alive ?,ronnie van zant,0.818181818,1,"[0.19072558, 0.17884105]",0.18478331,SA
is a flash drive and memory stick the same? ,yes,yes,a flash drive and memory stick is the same.,a flash drive and memory stick,What is the same ?,no answer>,1,1,"[0.34775567, 0.39146972, 0.2857769, 0.40464225]",0.35741112,NA
is victoria plum the same as victorian plumbing? ,yes,yes,victoria plum is the same as victorian plumbing.,victorian plumbing,What is the same as victoria plum ?,no answer>,1,1,"[0.23354103, 0.23811263]",0.23582682,NA
