Source Question,Ground Truth,Source Answer,Statement (SQ+SA),Target Answer,New Question,New Answer,Semantic Similarity Score - Detail,Average,Inspection Conclusion
Who started the IPCC Trust Fund? ,the United Nations Environment Programme (UNEP) and the World Meteorological Organization (WMO),united nations environment programme (unep) and the world meteorological organization (wmo),United nations environment programme (unep) and the world meteorological organization (wmo) started the IPCC Trust Fund.,yes,Did united nations environment programme( unep) and the world meteorological organization( wmo) start the IPCC Trust Fund?,no answer>,[0.59921396],0.59921396,NA
How are the certain costs which are difficult to avoid shared? ,by everyone,by everyone,The certain costs which are difficult to avoid are shared by everyone.,yes,Are the certain costs which are difficult to avoid shared by everyone?,"housing, pensions, education and health care",[0.27847186],0.27847186,NA
Why do some people chose to go to jail for their disobedience? ,a way of continuing their protest,reminding their countrymen of injustice,Some people chose to go to jail for their disobedience because reminding their countrymen of injustice.,yes,Did some people choose to go to jail for their disobedience because reminding their countrymen of injustice?,no answer>,[0.59921396],0.59921396,SA
Going to jail accomplished what goal of civil disobedience? ,reminding their countrymen of injustice,reminding their countrymen of injustice,Going to jail accomplished reminding their countrymen of injustice.,yes,Did going to jail accomplish reminding their countrymen of injustice?,no answer>,[0.59921396],0.59921396,NA
What is the most important item for civil disobedience to follow through? ,protest should be maintained all the way,spirit of protest,The most important item for civil disobedience to follow through is spirit of protest.,yes,Is the most important item for civil disobedience to follow through spirit of protest?,no answer>,[0.59921396],0.59921396,SA
What type of musical instruments did the Yuan bring to China? ,Western,western,The Yuan brought western type of musical instruments to China.,yes,Did the Yuan bring western type of musical instruments to China?,western musical instruments were introduced,[0.2249681],0.2249681,NA
"Besides Confucianism, Buddhism, and Islam, what religions were tolerated during the Yuan? ",Nestorianism and Roman Catholicism,nestorianism and roman catholicism,"Besides Confucianism, Buddhism, and Islam, nestorianism and roman catholicism were tolerated during the Yuan.",yes,"Besides Confucianism, were buddhism, and Islam, nestorianism and roman catholicism tolerated during the Yuan?",nestorianism and roman catholicism also enjoyed a period of toleration,[0.3662192],0.3662192,NA
"What religion did the Yuan discourage, to support Buddhism? ",Taoism,taoism,"The Yuan discouraged taoism, to support Buddhism.",yes,"Did the Yuan discourage taoism, to support Buddhism?",persecutions,[0.20932664],0.20932664,NA
What type of practices did the Yuan reintroduce in government? ,Confucian,confucian,The Yuan reintroduced confucian type of practices in government.,yes,Did the Yuan reintroduce confucian type of practices in government?,were reinstated by the yuan court,[0.2837373],0.2837373,NA
What fields of study were advanced during the Yuan? ,"travel literature, cartography, geography, and scientific education","travel literature, cartography, geography, and scientific education","Travel literature, cartography, geography, and scientific education of study were advanced during the Yuan.",yes,"Were travel literature, cartography, geography, and scientific education of study advanced during the Yuan?",advances were realized,[0.35596508],0.35596508,NA
